100000,79687500	0,80000001	0,99800324	-0,00199676
200001,59375000	1,60000002	1,00068772	0,00068770
300002,50000000	2,50000000	1,00349355	0,00349350
400004,00000000	4,00000000	1,00296080	0,00296080
500004,09375000	4,09999990	1,00198698	0,00198700
600005,00000000	5,00000000	1,00156391	0,00156390
700006,12500000	6,09999990	1,00208879	0,00208880
800006,62500000	6,59999990	1,00456202	0,00456200
900007,81250000	7,80000019	1,01533341	0,01533340
1000008,00000000	8,00000000	1,03503585	0,03503590
